Date,TICKER,Close_Price_Raw,Volume_Raw,PERMNO,SIC_Code
2017-06-27,AMZN,48.8390007,75648000,84788,5961
2017-06-28,AIV,2.51876688,12990344,78442,6798
2017-06-28,NVDA,3.745815754,994948000,86580,3674
2017-06-28,AMZN,49.51649857,74752000,84788,5961
2017-06-28,QCOM,44.73301315,7542400,77178,3674
2017-06-28,IBM,102.603447,2323166,12490,7373
2017-06-28,AMT,109.5724182,2121600,82332,6798
2017-06-28,WELL,56.34486771,1367100,61293,6798
2017-06-29,WELL,54.85030746,2109900,61293,6798
2017-06-29,QCOM,43.87277603,8456900,77178,3674
2017-06-29,NVDA,3.620666027,1064424000,86580,3674
2017-06-29,AIV,2.520538092,13801960,78442,6798
2017-06-29,AMT,108.1796646,1998700,82332,6798
2017-06-29,IBM,101.8173294,3412261,12490,7373
2017-06-29,AMZN,48.79650116,86060000,84788,5961
2017-06-30,NVDA,3.568335772,731060000,86580,3674
2017-06-30,WELL,55.10799026,1903100,61293,6798
2017-06-30,AMT,107.7724609,2480300,82332,6798
2017-06-30,AMZN,48.40000153,67806000,84788,5961
2017-06-30,QCOM,43.98428726,8781900,77178,3674
2017-06-30,IBM,101.619133,3735789,12490,7373
2017-06-30,AIV,2.537070513,12684301,78442,6798
2017-07-03,AMZN,47.68299866,58182000,84788,5961
2017-07-03,IBM,102.7751465,2952335,12490,7373
2017-07-03,WELL,55.77796936,934900,61293,6798
2017-07-03,QCOM,43.76922607,4379600,77178,3674
2017-07-03,AMT,107.0312729,1252800,82332,6798
2017-07-03,NVDA,3.43923831,709072000,86580,3674
2017-07-03,AIV,2.549469233,5422520,78442,6798
2017-07-05,QCOM,44.16747665,6823800,77178,3674
2017-07-05,AIV,2.583714008,13837215,78442,6798
2017-07-05,NVDA,3.53106308,820188000,86580,3674
2017-07-05,AMT,107.7154083,1707700,82332,6798
2017-07-05,IBM,101.5134354,3728362,12490,7373
2017-07-05,AMZN,48.56999969,73060000,84788,5961
2017-07-05,WELL,55.28468704,1351000,61293,6798
2017-07-06,AIV,2.524671078,17856285,78442,6798
2017-07-06,AMT,107.1371307,1249200,82332,6798
2017-07-06,IBM,100.648056,2884345,12490,7373
2017-07-06,NVDA,3.541677237,746284000,86580,3674
2017-07-06,AMZN,48.25699997,65192000,84788,5961
2017-07-06,QCOM,43.64178467,5663000,77178,3674
2017-07-06,WELL,53.79746628,1490100,61293,6798
2017-07-07,IBM,101.0311737,2573265,12490,7373
2017-07-07,AMZN,48.93799973,52868000,84788,5961
2017-07-07,AIV,2.518176317,12508026,78442,6798
2017-07-07,NVDA,3.622641563,654972000,86580,3674
2017-07-07,QCOM,44.0878334,5356000,77178,3674
2017-07-07,WELL,53.67231369,1527200,61293,6798
2017-07-07,AMT,108.4403381,1254200,82332,6798
2017-07-10,AMT,106.8683548,1272100,82332,6798
2017-07-10,AIV,2.514633656,10824787,78442,6798
2017-07-10,WELL,53.39991379,1118000,61293,6798
2017-07-10,NVDA,3.793948889,958492000,86580,3674
2017-07-10,QCOM,44.31882095,5098100,77178,3674
2017-07-10,IBM,101.3482971,3353685,12490,7373
2017-07-10,AMZN,49.82350159,70926000,84788,5961
2017-07-11,NVDA,3.847760916,757956000,86580,3674
2017-07-11,IBM,101.1963654,3606085,12490,7373
2017-07-11,WELL,53.45878983,983600,61293,6798
2017-07-11,AIV,2.50459671,13841715,78442,6798
2017-07-11,AMT,106.6402969,1112600,82332,6798
2017-07-11,QCOM,44.07190704,6124900,77178,3674
2017-07-11,AMZN,49.70650101,59654000,84788,5961
2017-07-12,WELL,54.26866913,1020800,61293,6798
2017-07-12,AMZN,50.32550049,72172000,84788,5961
2017-07-12,AMT,109.0430069,1135400,82332,6798
2017-07-12,AIV,2.537070513,9706378,78442,6798
2017-07-12,IBM,101.533226,3240403,12490,7373
2017-07-12,NVDA,4.011414528,1145208000,86580,3674
2017-07-12,QCOM,44.76488495,6126800,77178,3674
2017-07-13,AIV,2.527623415,7954879,78442,6798
2017-07-13,AMZN,50.03150177,57616000,84788,5961
2017-07-13,WELL,53.96679688,956400,61293,6798
2017-07-13,NVDA,3.965010881,1369132000,86580,3674
2017-07-13,IBM,101.4870071,2590001,12490,7373
2017-07-13,AMT,109.2547989,955500,82332,6798
2017-07-13,QCOM,44.78878784,6219200,77178,3674
2017-07-14,AMT,110.8022995,1202400,82332,6798
2017-07-14,AMZN,50.09049988,42050000,84788,5961
2017-07-14,WELL,54.29811478,1087700,61293,6798
2017-07-14,QCOM,45.25076294,4440100,77178,3674
2017-07-14,AIV,2.554192305,6226634,78442,6798
2017-07-14,IBM,101.8899612,3406194,12490,7373
2017-07-14,NVDA,4.071643829,941948000,86580,3674
2017-07-17,WELL,54.37174606,1286300,61293,6798
2017-07-17,IBM,101.0774002,4981680,12490,7373
2017-07-17,NVDA,4.054365635,930792000,86580,3674
2017-07-17,AMT,110.2810745,1458900,82332,6798
2017-07-17,QCOM,44.97197723,5123600,77178,3674
2017-07-17,AIV,2.576038361,9549606,78442,6798
2017-07-17,AMZN,50.5019989,74252000,84788,5961
2017-07-18,WELL,54.51899338,1255700,61293,6798
2017-07-18,QCOM,44.83657074,7441000,77178,3674
2017-07-18,AIV,2.556554079,7580576,78442,6798
2017-07-18,IBM,101.7314224,7914873,12490,7373
2017-07-18,NVDA,4.096576691,776640000,86580,3674
2017-07-18,AMZN,51.22249985,80152000,84788,5961
2017-07-18,AMT,110.9163284,2272400,82332,6798
2017-07-19,WELL,54.57789993,1190700,61293,6798
2017-07-19,AMT,110.2973328,2758000,82332,6798
2017-07-19,IBM,97.45740509,14951106,12490,7373
2017-07-19,QCOM,45.22686005,8783700,77178,3674
2017-07-19,AIV,2.581942558,4545645,78442,6798
2017-07-19,AMZN,51.34349823,59280000,84788,5961
2017-07-19,NVDA,4.075347424,687044000,86580,3674
2017-07-20,IBM,97.54327393,7543961,12490,7373
2017-07-20,AMZN,51.43500137,61950000,84788,5961
2017-07-20,NVDA,4.134589672,699596000,86580,3674
2017-07-20,WELL,54.2612915,1327100,61293,6798
2017-07-20,QCOM,42.98861313,35943900,77178,3674
2017-07-20,AMT,110.96521,2082100,82332,6798
2017-07-20,AIV,2.591979742,7347293,78442,6798
2017-07-21,AMT,111.5027695,1542700,82332,6798
2017-07-21,WELL,54.43063736,1227400,61293,6798
2017-07-21,AMZN,51.28350067,54692000,84788,5961
2017-07-21,QCOM,42.88507843,12113100,77178,3674
2017-07-21,AIV,2.6114645,5394766,78442,6798
2017-07-21,NVDA,4.149400711,648332000,86580,3674
2017-07-21,IBM,97.16014099,6808937,12490,7373
2017-07-24,NVDA,4.101266861,652524000,86580,3674
2017-07-24,IBM,96.44007874,4055970,12490,7373
2017-07-24,AMZN,51.94749832,65760000,84788,5961
2017-07-24,QCOM,42.39123535,8832200,77178,3674
2017-07-24,AMT,111.6412659,1367500,82332,6798
2017-07-24,AIV,2.578990459,13135115,78442,6798
2017-07-24,WELL,53.85637665,1854700,61293,6798
2017-07-25,AIV,2.564230442,5699309,78442,6798
2017-07-25,NVDA,4.081519127,496556000,86580,3674
2017-07-25,QCOM,42.43106079,7112100,77178,3674
2017-07-25,AMT,111.2747269,1205300,82332,6798
2017-07-25,WELL,53.75330353,1623900,61293,6798
2017-07-25,AMZN,51.99349976,48952000,84788,5961
2017-07-25,IBM,96.57220459,4402509,12490,7373
2017-07-26,IBM,96.02391815,4113290,12490,7373
2017-07-26,AMT,112.2928162,1338000,82332,6798
2017-07-26,AIV,2.590798855,6356402,78442,6798
2017-07-26,QCOM,42.32751083,7581500,77178,3674
2017-07-26,AMZN,52.63999939,58426000,84788,5961
2017-07-26,WELL,53.95944977,1007700,61293,6798
2017-07-26,NVDA,4.128665447,640404000,86580,3674
2017-07-27,AIV,2.598475218,8254922,78442,6798
2017-07-27,NVDA,3.992409706,782856000,86580,3674
2017-07-27,WELL,53.59131241,1396800,61293,6798
2017-07-27,IBM,95.83231354,6726617,12490,7373
2017-07-27,AMZN,52.29999924,219834000,84788,5961
2017-07-27,QCOM,41.80976486,14069200,77178,3674
2017-07-27,AMT,109.8412552,2933600,82332,6798
2017-07-28,AIV,2.672278404,9606614,78442,6798
2017-07-28,AMZN,51.0019989,154188000,84788,5961
2017-07-28,WELL,53.79746628,1365200,61293,6798
2017-07-28,IBM,95.31706238,3195321,12490,7373
2017-07-28,AMT,112.6755981,1972600,82332,6798
2017-07-28,QCOM,42.12040329,6644300,77178,3674
2017-07-28,NVDA,4.057823181,513348000,86580,3674
2017-07-31,AMT,111.0385208,2386700,82332,6798
2017-07-31,NVDA,4.011414528,559672000,86580,3674
2017-07-31,WELL,54.0330925,2125100,61293,6798
2017-07-31,AIV,2.689400196,8369688,78442,6798
2017-07-31,AMZN,49.38899994,147042000,84788,5961
2017-07-31,QCOM,42.36732864,11302700,77178,3674
